transcription,conversation_no
"Right now out there, there is this mass of silver fish and it's heading this way.  No one sent them an invitation, no one told them, no one even gave them a map.",10
"Just all at once, they turned and they formed this line as long as the California coast.  And some instinctual little firecracker went off in their bodies and they all just turned as one and started swimming.",10
They are swimming right now.  They are swimming as if that is the only thing that matters to them.,10
It's single mindedness with no mind.  It is urgency that is just pure urge.,10
And they are swimming right now to this very point where we stand for this huge celebration of sex and death.,10
"Oh look.  I'm giving myself goose bumps, my hairs are standing up on my arm.",10
That's the wind.,10
So what do you think?,10
About what?,10
"About all of that, about all I was talking about.",10
"Look at this, all of the hairs are standing up on my arm.",11
That's the wind.,11
"Well, so, what do you think?",11
About what?,11
About what I was saying.,11
I think it's ridiculous.,11
It certainly is not.  It's slightly exaggerated scientific fact.,11
It's PR! Somebody sold you a bunch of crap that there is this wonderful thing that is going to happen tonight on the beach.,11
"Not just me, look at all of these people.",11
"Everybody's told the same story.  It keeps us coming back for more, it keeps us excited.  We keep thinking that life is going start at any minute if we can just find the right spot, get in on the action.",11
"Are we talking about the same thing, here?",11
"I'm sorry, it's just fish to me.",11
"Carla, can I ask you something?  Now, don't take this the wrong way, but are you on your period?",11
"Don't ask me that.  I hate it when you ask me that, you always ask me that.  It's insulting.",11
"Well then, what's bugging you?",11
We just have different ideas of what this night is supposed to look like.,11
"There is nothing to it; we come down here, the fish arrive, they flop around, they do their fish thing.  We go ooh, ah, look at the fish and we go home.",11
"For God- Grow up, Augie.  The fish are not going to arrive.",11
Why not?,11
Because they never do.  Have they...Have they ever?,11
We've missed them twice.,11
Twice is every time we have tried; that's ever.,11
They'll show up this time.,11
No they won't.  It's like waiting for Santa Claus.,11
I feel like my whole life is going to be spent standing on this beach with my eyes wide open and my hands clasped expectantly waiting for fish to show up.  And the fish never show up.,11
I thought you wanted to see it.,11
You don't understand anything I am saying.,11
No. Of course not.,11
"I did want to see it, I still do, I always do.  I just...",11
"I feel like I'm always just standing here waiting.  I feel like this night is going to be the night, but it never is.",11
"It's just fish, it's nothing to get traumatized over.",11
"For God's sake, this is not about fish.",11
Okay.  I'm trying to work this backwards and pinpoint the exact moment where we took a turn for the worst here.,11
"Okay.  So you were fine during that phone call from Marge and then dinner was okay.  And doing the dishes was fine and then I was going to take a shower and you're watching the news and you said the grunions are running tonight, do you want to go?  And I said, sure great, let's go.",11
"Okay.  So I am putting out the pets, getting the car out of the garage.",11
Do you remember the first year we came here?  It was like four years after we got married.,11
"We thought I was pregnant, we got a bottle of champagne, we had no glasses.  We took off our shoes and you asked me to dance.",11
"You whispered the sweetest, most intimate things to me right into my ear so I could feel them as much as hear them.  And I remember thinking, this is it.  You know, finally, I am as happy as I'm supposed to be.",11
"Wait a minute, I got it.",11
"Drinking champagne from the bottle,",11
"It's when we were driving past that Knickerbocker Liquor Locker, you said, let's get some champagne.  I said no, time's a wasting or something like that.",11
dancing barefoot in the sand.,11
"That's what it is?  Right?  You want this to be like the other time, right?",11
I'd rather not remember some things.  I'd rather not hope for some things.,11
Sure.  All right.  Okay.,11
"Listen, do you want to dance?",11
No.,11
Do you want me to go get some champagne?,11
No.,11
Do you want to take off your shoes?,11
"No, no. Nothing.",11
Then what?,11
Do you want to get married again?,11
No.,11
What?  What?  Do you want a divorce?,11
A vacation?,11
No.,11
Like a new carpet?  A poodle?  A back rub?  Ice cream?  A suicide pact?  What do you want?  What the hell do you want?,11
I just want something to turn out like I expected it to.,11
"Well welcome to the human race, huh?  Do you think I had some grand fantasy going that four years down the line we would come to this beach and be arguing over fish?  No.",11
[BREATHING],11
"No I'm just like you.  I thought it was going to be all roses and peaches and the bills would just pay themselves.  And we'll have three, fat rosy cheeked children.  Huh, baby, the joke's on us.  Because you know what you get?",11
Do you know what you get?  You get this.,11
This? What is this?  This is nothing.  This isn't even anything.,11
Yes it is.,11
Sure.  This is standing on the beach waiting.  This is fighting.,11
Right,11
"I mean this is a lot of things, but it's just...",11
[BREATHING],11
Do you understand what I am saying?,11
I'm doing the best I can.,11
"I know you are Augie, I know.",11
"I know you meant this to be special, I know that you wanted it to be right, but I just can't help thinking that, I can't help wishing that I was somewhere else.",11
"Maybe if you were with someone else, too.",11
I didn't say that.,11
I just- I know I don't make you happy.,11
"Don't be ridiculous.  Anything that- anything I am doing, I'd rather be doing it with you.",11
Yeah?,11
Yeah.  Don't you know that?,11
For Heaven's sake Augie.,11
"You're the one who probably wishes he was with somebody else.  Somebody who doesn't take things so seriously, who could enjoy herself.",11
"You know, actually now that you mention it, no I don't.",11
"So maybe we are in the wrong spot, but we are with the right person.",11
"I don't know, it seemed like such a good spot to me.",11
"We have a great view of the moon from here, though, huh?",11
"Hmm.  I noticed that, it's pretty. Big old white moon.",11
[BREATHING],11
And look what I got here.,11
"Augie, you bought refreshments.",11
It's not champagne.,11
I guess we don't need glasses.,11
[BREATHING],11
Do you want to go home?  Are you cold?,11
I'm beginning to think this might be the right spot after all.,11
"Augie, I'm sorry.",11
"Shh.  If we're very quiet, the fish might come.",11
Or not.,11
Or not.,11
Good God.,12
Is it them?,12
I wonder.,12
Freda is the only one who knows we are here.  She wouldn't ring up.,12
It must be them then.,12
It had to happen sooner or later.  What are we going to do?,12
[BREATHING],12
"We are okay, aren't we darling?",12
"Now and always, sweet.",12
I don't care then.,12
It had to happen sooner or later.,12
"Hello?  Hello?  I'm sorry, what's that?",12
No.  Wrong number. [LAUGHTER],12
[LAUGHTER] That sent shivers up my spine.,12
What shall we do if they suddenly walk in on us.[LAUGHTER],12
We'll behave exquisitely.,12
With perfect poise.,12
I think I shall do a curtsy.,12
"It's strange; things that ought to matter dreadfully, they just don't matter at all when one's happy.  Do they?",12
Hmm.  The pity is that one can't stay happy.,12
"Darling, don't say that.",12
It's true.  I think the whole thing's a cruel joke.,12
What?  This beautiful and sacred thing - love?,12
Yes.  Meaning just that.,12
"Well what does it all mean?  That's what I ask myself in my quest for ultimate truth.  Dear God, what does it all mean?",12
Don't laugh at me.  I'm being serious.,12
"Oh darling, you mustn't be serious.  It's just what they want.",12
Who's they?,12
"All of those futile moralists who make life unbearable.  You have to laugh at them, be flippant.",12
"You know, flippancy brings out the acid in their darned, light and sweetness.",12
"you know if I laugh at everything then I must laugh at us, too.",12
Oh of course.  We are figures of fun.  All right.,12
"How long with it last, this ludicrous overbearing love of ours?",12
Who knows?,12
Shall we always want to bicker and fight?,12
Oh no.  That fire will fade along with our passion.,12
"Oh dear, should we like that?",12
Well it depends on how well we've played.,12
What happens if one of us dies?  Does the other one still laugh?,12
Yes.  Yes with all of his might.,12
"Well that's serious enough, isn't it?",12
"No, no, no, no. no.  Death is a very laughable thing.  It's a cunning little mystery, it's all done with mirrors.",12
I think you are talking nonsense.,12
"Oh.  So is everyone, in the long run.",12
"Let's be superficial, and just pity those poor philosophers, huh?  Let's blow trumpets and squeakers and enjoy the party for as long as we can, you know, like small, idiotic school children.",12
[LAUGHTER],12
Oh Come and kiss me darling before your body rots and worms pop out of your eye sockets.,12
"Oh Elliott, worms don't pop.",12
"Oh See, I don't care what you do, see.  You can paint yourself green and run naked through the Place Vendome and run off with all of the men of the world.  I shan't say a word, just as long as you love me best.",12
